NUMERO FAKE FAMILIA,ANO NASCIMENTO,BAIRRO,BENEFICIO CONCEDIDO,DATA CONCESSÃO,SERVIÇO,LOCAL DE EXECUÇÃO,DIA CONCESSÃO,MES CONCESSÃO,ANO CONCESSÃO
124686937,1975,APOLONIA,AVISE 1X300,04/02/2019,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS APOLÔNIA,04,02,2019
124555732,1981,LAGOINHA,AVISE 1X300,05/12/2019,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA SENHOR DOS PASSOS,05,12,2019
124300649,1992,RIBEIRO DE ABREU,AVISE 1X300,09/12/2019,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS NORTE,09,12,2019
123456883,1957,PIRATININGA,AVISE 1X300,10/12/2019,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-VN,10,12,2019
123756642,1960,VISTA DO SOL,AVISE 1X300,13/12/2019,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-NE,13,12,2019
124541278,1991,OURO MINAS,AVISE 1X300,13/12/2019,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-NE,13,12,2019
123467852,1985,CABANA DO PAI TOMAS,AVISE 1X300,16/12/2019,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-O,16,12,2019
124276445,1978,UNIAO,AVISE 1X300,17/12/2019,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS NORDESTE,17,12,2019
124101088,1965,APOLONIA,AVISE 1X300,18/12/2019,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS APOLÔNIA,18,12,2019
124651265,1988,INCONFIDENCIA,AVISE 1X300,18/12/2019,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-NO,18,12,2019
124278170,1986,SAO TOMAZ,AVISE 1X300,20/12/2019,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS SANTA RITA DE CÁSSIA,20,12,2019
